count,base_pos,outs_when_up,n,xR_vs_xR28,xR,xR28,weight,xRp,diff
0-0,000,0,32804,0.004,0.49387269845140835,0.48962984633387735,0.9924366188660979,0.4938406081437487,-3.2090307659660144e-5
0-0,000,1,24326,0.003,0.26264079585628547,0.26008141392281137,0.9898274739583334,0.2626147604769166,-2.6035379368849476e-5
0-0,000,2,19654,0.003,0.1030324615854279,0.09997459672297726,0.9874397106109325,0.10299405391784286,-3.840766758504699e-5
0-0,001,0,7823,0.002,0.8826537134091781,0.8808789650894914,0.9690325777282299,0.8825987540285362,-5.495938064192796e-5
0-0,001,1,9846,0.008,0.51868779199675,0.5108631496107254,0.9752377179080824,0.5184940359947189,-1.937560020310869e-4
0-0,001,2,10210,0.018,0.22761998041136142,0.20985695922107048,0.9760994263862333,0.22719543401579995,-4.2454639556147034e-4
0-0,010,0,2213,0.005,1.148215092634433,1.1427499732075876,0.8984977669508729,1.147660370808728,-5.547218257049291e-4
0-0,010,1,3283,0.004,0.6554980201035638,0.6513549471325537,0.9292386074157939,0.6552048504905572,-2.9316961300662747e-4
0-0,010,2,4223,0.018,0.3208619464835425,0.30252851810965675,0.9441090990386765,0.3198372746540161,-0.001024671829526369
0-0,011,0,1977,0.009,1.573090541224077,1.5638585026282141,0.8877413560844185,1.5720541650907291,-0.0010363761333478383
0-0,011,1,3487,0.01,0.9581301978778319,0.9482677902621723,0.9331014182499331,0.9574704167957033,-6.597810821286076e-4
0-0,011,2,4135,0.036,0.4607013301088271,0.42511068943706515,0.942987457240593,0.4586722171856935,-0.002029112923133569
0-0,100,0,212,-0.055,1.2924528301886793,1.3476044852191642,0.4588744588744589,1.3222967993610197,0.029843969172340445
0-0,100,1,984,0.003,0.9004065040650406,0.8972312297331005,0.7974068071312804,0.8997632150998989,-6.432889651417639e-4
0-0,100,2,1670,0.019,0.33652694610778444,0.31787709497206706,0.8697916666666666,0.33409858007448795,-0.002428366033296492
0-0,101,0,684,0.034,1.8391812865497077,1.8052609249045397,0.7323340471092077,1.8301019606275535,-0.009079325922154213
0-0,101,1,1495,0.048,1.2040133779264215,1.1564871016691958,0.8567335243553008,1.1972044558265322,-0.0068089220998892586
0-0,101,2,2165,0.045,0.4706697459584296,0.42596026490066224,0.8964803312629399,0.46604143528992364,-0.004628310668505942
0-0,110,0,398,0.08,2.042713567839196,1.9629408248655111,0.6141975308641975,2.0119370466302127,-0.030776521208983443
0-0,110,1,945,0.078,1.4042328042328043,1.3261243548783486,0.7907949790794979,1.3878921244515374,-0.016340679781266854
0-0,110,2,1029,0.101,0.630709426627794,0.5294473578055667,0.8045347928068803,0.6109162153646533,-0.019793211263140598
0-0,111,0,553,0.093,2.446654611211573,2.3540916109109626,0.688667496886675,2.4178367406323047,-0.028817870579268323
0-0,111,1,1171,0.047,1.5841161400512382,1.5369205683671092,0.8240675580577058,1.5758129078759868,-0.008303232175251418
0-0,111,2,1449,0.002,0.7743271221532091,0.7720456979650125,0.8528546203649205,0.7739914211249282,-3.357010282808437e-4
0-1,000,0,17134,-0.03,0.4593790124897864,0.48962984633387735,0.9856189599631845,0.4598140509424454,4.3503845265896457e-4
0-1,000,1,12781,-0.025,0.23495814099053283,0.26008141392281137,0.9808149796638784,0.23544013149264853,4.8199050211569783e-4
0-1,000,2,10196,-0.008,0.09199686151431934,0.09997459672297726,0.9760673942178825,0.09218778950610226,1.9092799178292708e-4
0-1,001,0,3795,-0.071,0.8097496706192359,0.8808789650894914,0.9381953028430161,0.8141457951229599,0.004396124503724064
0-1,001,1,4825,-0.03,0.4806217616580311,0.5108631496107254,0.9507389162561576,0.4821114852024988,0.0014897235444676915
0-1,001,2,4910,-0.035,0.17535641547861508,0.20985695922107048,0.9515503875968992,0.17702795345063327,0.0016715379720181889
0-1,010,0,1068,-0.075,1.0674157303370786,1.1427499732075876,0.8103186646433991,1.0817052301228351,0.014289499785756554
0-1,010,1,1622,-0.096,0.5554870530209618,0.6513549471325537,0.8664529914529915,0.5682899234952663,0.012802870474304506
0-1,010,2,2107,-0.01,0.292358803986711,0.30252851810965675,0.8939329656342808,0.29343747540407905,0.00107867141736806
0-1,011,0,879,-0.132,1.4323094425483505,1.5638585026282141,0.7785651018600531,1.4614389952675408,0.029129552719190377
0-1,011,1,1731,-0.105,0.8434430964760254,0.9482677902621723,0.8738011105502271,0.8566718564187497,0.01322875994272421
0-1,011,2,1988,-0.049,0.3762575452716298,0.42511068943706515,0.8882931188561215,0.38171477764042283,0.00545723236879303
0-1,100,0,119,-0.112,1.2352941176470589,1.3476044852191642,0.3224932249322493,1.3113851525875098,0.07609103494045089
0-1,100,1,463,-0.035,0.8617710583153347,0.8972312297331005,0.6493688639551192,0.8742044985038921,0.01243344018855741
