count,base_pos,outs_when_up,n,xR_vs_xR28,xR,xR28
0-0,000,0,32804,0.004,0.49381173027679554,0.489599211664896
0-0,000,1,24318,0.002,0.2622748581297804,0.2598318080633193
0-0,000,2,19651,0.003,0.10294641494071549,0.09991362666395691
0-0,001,0,7823,0.001,0.8822702288124761,0.8809287486706842
0-0,001,1,9847,0.008,0.5184320097491621,0.5105521989602361
0-0,001,2,10209,0.018,0.22764227642276422,0.20980799737432307
0-0,010,0,2216,0.005,1.1471119133574008,1.1419541461324192
0-0,010,1,3286,0.004,0.655203895313451,0.6511269774604508
0-0,010,2,4226,0.018,0.32063416942735445,0.30235492010092513
0-0,011,0,1975,0.011,1.5751898734177214,1.5644084647067178
0-0,011,1,3487,0.01,0.9584169773444221,0.9484978540772532
0-0,011,2,4134,0.035,0.46032897919690374,0.4250189825360668
0-0,100,0,212,-0.055,1.2924528301886793,1.3476044852191642
0-0,100,1,986,0.003,0.9006085192697769,0.8973080757726819
0-0,100,2,1669,0.019,0.33672857998801675,0.3179214974158402
0-0,101,0,685,0.038,1.8437956204379562,1.8062738448495126
0-0,101,1,1494,0.048,1.2048192771084338,1.1569259962049336
0-0,101,2,2164,0.045,0.47088724584103514,0.42601669095244404
0-0,110,0,398,0.08,2.042713567839196,1.9629408248655111
0-0,110,1,944,0.075,1.402542372881356,1.3271073973949374
0-0,110,2,1030,0.101,0.629126213592233,0.5283437563042163
0-0,111,0,553,0.094,2.4484629294755877,2.3546062789500772
0-0,111,1,1170,0.049,1.5854700854700854,1.5363128491620113
0-0,111,2,1447,0.003,0.7753973738769868,0.7720614505180422
0-1,000,0,17130,-0.03,0.4592527729130181,0.489599211664896
0-1,000,1,12785,-0.025,0.23480641376613218,0.2598318080633193
0-1,000,2,10198,-0.008,0.09188076093351638,0.09991362666395691
0-1,001,0,3788,-0.071,0.8101900739176346,0.8809287486706842
0-1,001,1,4826,-0.03,0.4807293825113966,0.5105521989602361
0-1,001,2,4908,-0.034,0.1754278728606357,0.20980799737432307
0-1,010,0,1068,-0.075,1.0674157303370786,1.1419541461324192
0-1,010,1,1622,-0.096,0.5554870530209618,0.6511269774604508
0-1,010,2,2108,-0.011,0.29127134724857684,0.30235492010092513
0-1,011,0,881,-0.135,1.4290578887627696,1.5644084647067178
0-1,011,1,1730,-0.105,0.8433526011560694,0.9484978540772532
0-1,011,2,1986,-0.048,0.3766364551863041,0.4250189825360668
0-1,100,0,119,-0.112,1.2352941176470589,1.3476044852191642
0-1,100,1,463,-0.036,0.8617710583153347,0.8973080757726819
0-1,100,2,833,-0.033,0.2845138055222089,0.3179214974158402
0-1,101,0,312,-0.079,1.7275641025641026,1.8062738448495126
0-1,101,1,760,-0.039,1.118421052631579,1.1569259962049336
0-1,101,2,1011,-0.016,0.410484668644906,0.42601669095244404
0-1,110,0,184,0.021,1.983695652173913,1.9629408248655111
0-1,110,1,452,0.031,1.3584070796460177,1.3271073973949374
0-1,110,2,484,0.015,0.5433884297520661,0.5283437563042163
0-1,111,0,256,-0.163,2.19140625,2.3546062789500772
0-1,111,1,566,-0.031,1.5053003533568905,1.5363128491620113
0-1,111,2,693,-0.173,0.5988455988455988,0.7720614505180422
0-2,000,0,8914,-0.094,0.39566973300426295,0.489599211664896
0-2,000,1,6615,-0.063,0.1965230536659108,0.2598318080633193
0-2,000,2,5311,-0.041,0.05855771041235172,0.09991362666395691
0-2,001,0,2094,-0.15,0.7311365807067812,0.8809287486706842
0-2,001,1,2462,-0.1,0.4110479285134037,0.5105521989602361
0-2,001,2,2550,-0.075,0.13450980392156864,0.20980799737432307
0-2,010,0,573,-0.161,0.9808027923211169,1.1419541461324192
0-2,010,1,870,-0.193,0.4586206896551724,0.6511269774604508
0-2,010,2,1143,-0.099,0.20297462817147857,0.30235492010092513
0-2,011,0,449,-0.246,1.3184855233853006,1.5644084647067178
0-2,011,1,937,-0.229,0.7193169690501601,0.9484978540772532
0-2,011,2,998,-0.148,0.27655310621242485,0.4250189825360668
0-2,100,0,59,-0.297,1.0508474576271187,1.3476044852191642
0-2,100,1,254,-0.153,0.7440944881889764,0.8973080757726819
0-2,100,2,420,-0.092,0.2261904761904762,0.3179214974158402
0-2,101,0,171,-0.257,1.5497076023391814,1.8062738448495126
0-2,101,1,410,-0.067,1.0902439024390245,1.1569259962049336
0-2,101,2,444,-0.138,0.2882882882882883,0.42601669095244404
0-2,110,0,120,-0.363,1.6,1.9629408248655111
0-2,110,1,276,-0.077,1.25,1.3271073973949374
0-2,110,2,268,-0.081,0.44776119402985076,0.5283437563042163
0-2,111,0,157,-0.431,1.9235668789808917,2.3546062789500772
0-2,111,1,316,-0.267,1.268987341772152,1.5363128491620113
0-2,111,2,375,-0.175,0.5973333333333334,0.7720614505180422
1-0,000,0,12092,0.04,0.5295236520013232,0.489599211664896
1-0,000,1,9013,0.032,0.29135692888050596,0.2598318080633193
1-0,000,2,7417,0.012,0.1117702575165161,0.09991362666395691
1-0,001,0,2836,0.075,0.9559238363892807,0.8809287486706842
